code,name,total,color,value
02201,青森市,287648,0,0
02202,弘前市,177411,0,0
02203,八戸市,231257,0,0
02204,黒石市,34284,0,0
02205,五所川原市,55181,0,0
02206,十和田市,63429,0,0
02207,三沢市,40196,0,0
02208,むつ市,58493,0,0
02209,つがる市,33316,0,0
02210,平川市,32106,0,0
02301,平内町,11142,0,0
02303,今別町,2756,0,0
02304,蓬田村,2896,0,0
02307,外ヶ浜町,6198,0,0
02321,鰺ヶ沢町,10126,0,0
02323,深浦町,8429,0,0
02343,西目屋村,1415,0,0
02361,藤崎町,15179,0,0
02362,大鰐町,9676,0,0
02367,田舎館村,7783,0,0
02381,板柳町,13935,0,0
02384,鶴田町,13392,0,0
02387,中泊町,11187,0,0
02401,野辺地町,13524,0,0
02402,七戸町,15709,0,0
02405,六戸町,10423,0,0
02406,横浜町,4535,0,0
02408,東北町,17955,0,0
02411,六ヶ所村,10536,0,0
02412,おいらせ町,24222,0,0
02423,大間町,5227,0,0
02424,東通村,6607,0,0
02425,風間浦村,1976,0,0
02426,佐井村,2148,0,0
02441,三戸町,10135,0,0
02442,五戸町,17433,0,0
02443,田子町,5554,0,0
02445,南部町,18312,0,0
02446,階上町,14025,0,0
02450,新郷村,2509,0,0
