date,test,postive,trace,death
2021/4/25,1517,81,50,0
2021/4/26,1377,98,69,5
2021/4/27,649,75,45,5
2021/4/28,3391,170,114,0
2021/4/29,3018,171,107,0
2021/4/30,1946,140,92,4
2021/5/1,1231,131,72,0
2021/5/2,2764,246,162,5
2021/5/3,2001,88,54,0
2021/5/4,1626,201,148,0
2021/5/5,1553,128,87,0
2021/5/6,2157,251,165,3
2021/5/7,1680,154,114,4
2021/5/8,3028,277,122,3
2021/5/9,3031,327,116,7
2021/5/10,2972,266,93,4
2021/5/11,1345,280,75,5
2021/5/12,2856,352,51,6
2021/5/13,2680,499,101,5
2021/5/14,3372,346,70,6
2021/5/15,4302,344,104,1
2021/5/16,3365,322,114,4
2021/5/17,1694,210,81,7
2021/5/18,2402,377,149,7
2021/5/19,3933,382,106,11
2021/5/20,3105,394,143,8
2021/5/21,4656,427,167,10
2021/5/22,3789,409,171,5
2021/5/23,4080,401,196,10
2021/5/24,2080,194,128,10
2021/5/25,2201,276,171,5
2021/5/26,3708,369,230,12
2021/5/27,3632,388,214,7
2021/5/28,4511,276,190,13
2021/5/29,3943,240,144,7
2021/5/30,3079,166,114,9
2021/5/31,2818,194,136,12
2021/6/1,1773,162,98,11
2021/6/2,2967,201,137,9
2021/6/3,2891,193,129,9
2021/6/4,2978,113,72,3
2021/6/5,3307,159,107,13
2021/6/6,1863,125,84,10
2021/6/7,1567,91,68,7
2021/6/8,1142,74,54,13
2021/6/9,2577,124,74,10
2021/6/10,2391,114,68,4
2021/6/11,2307,72,37,14
2021/6/12,2240,93,54,12
2021/6/13,2244,59,30,3
2021/6/14,1208,51,39,10
2021/6/15,768,56,33,8
2021/6/16,2295,56,31,3
2021/6/17,2212,44,28,2
2021/6/18,1763,54,28,3
2021/6/19,1476,55,24,3
2021/6/20,1360,38,21,1
2021/6/21,653,28,19,2
2021/6/22,542,23,16,4
2021/6/23,2124,40,26,5
2021/6/24,1513,20,10,4
2021/6/25,1229,22,11,2
2021/6/26,1278,25,10,2
2021/6/27,793,17,11,2
2021/6/28,583,20,13,3
2021/6/29,478,15,9,3
2021/6/30,1599,27,11,3
2021/7/1,1467,24,9,0
2021/7/2,1035,18,12,0
2021/7/3,1172,19,8,2
2021/7/4,1086,21,5,2
2021/7/5,813,21,6,4
2021/7/6,621,17,7,1
2021/7/7,1476,33,12,0
2021/7/8,1340,41,14,0
2021/7/9,1175,27,9,0
2021/7/10,1110,44,16,0
2021/7/11,909,32,18,0
2021/7/12,764,34,15,0
2021/7/13,656,39,20,0
2021/7/14,1610,57,27,0
2021/7/15,1658,64,26,0
2021/7/16,1197,56,27,0
2021/7/16,1197,56,27,0
2021/7/17,1202,87,36,0
2021/7/18,1350,83,50,0
2021/7/19,926,58,24,1
2021/7/20,765,74,41,0
2021/7/21,1970,77,35,0
2021/7/22,1840,96,39,0
2021/7/23,1333,50,27,0
2021/7/24,823,88,42,0
2021/7/25,974,82,36,0
2021/7/25,974,82,36,0
2021/7/25,974,82,36,0
