code,name,total,color,value
40101,北九州市門司区,99637,0.0,0.0
40103,北九州市若松区,82844,0.0,0.0
40105,北九州市戸畑区,59116,0.0,0.0
40106,北九州市小倉北区,181878,0.0,0.0
40107,北九州市小倉南区,212850,0.0,0.0
40108,北九州市八幡東区,68844,0.0,0.0
40109,北九州市八幡西区,256117,0.0,0.0
40131,福岡市東区,306015,0.0,0.0
40132,福岡市博多区,228441,0.0,0.0
40133,福岡市中央区,192688,0.0,0.0
40134,福岡市南区,255797,0.0,0.0
40135,福岡市西区,206868,0.0,0.0
40136,福岡市城南区,130995,0.0,0.0
40137,福岡市早良区,217877,0.0,0.0
40202,大牟田市,117360,0.0,0.0
40203,久留米市,304552,0.0,0.0
40204,直方市,57146,0.0,0.0
40205,飯塚市,129146,0.0,0.0
40206,田川市,48441,0.0,0.0
40207,柳川市,67777,0.0,0.0
40210,八女市,64408,0.0,0.0
40211,筑後市,48339,0.0,0.0
40212,大川市,34838,0.0,0.0
40213,行橋市,70586,0.0,0.0
40214,豊前市,25940,0.0,0.0
40215,中間市,41796,0.0,0.0
40216,小郡市,57983,0.0,0.0
40217,筑紫野市,101081,0.0,0.0
40218,春日市,110743,0.0,0.0
40219,大野城市,99525,0.0,0.0
40220,宗像市,96516,0.0,0.0
40221,太宰府市,72168,0.0,0.0
40223,古賀市,57959,0.0,0.0
40224,福津市,58781,0.0,0.0
40225,うきは市,29509,0.0,0.0
40226,宮若市,28112,0.0,0.0
40227,嘉麻市,38743,0.0,0.0
40228,朝倉市,52444,0.0,0.0
40229,みやま市,38139,0.0,0.0
40230,糸島市,96475,0.0,0.0
40231,那珂川市,50004,0.0,0.0
40341,宇美町,37927,0.0,0.0
40342,篠栗町,31210,0.0,0.0
40343,志免町,45256,0.0,0.0
40344,須恵町,27263,0.0,0.0
40345,新宮町,30344,0.0,0.0
40348,久山町,8225,0.0,0.0
40349,粕屋町,45360,0.0,0.0
40381,芦屋町,14208,0.0,0.0
40382,水巻町,28997,0.0,0.0
40383,岡垣町,31580,0.0,0.0
40384,遠賀町,18877,0.0,0.0
40401,小竹町,7810,0.0,0.0
40402,鞍手町,16007,0.0,0.0
40421,桂川町,13496,0.0,0.0
40447,筑前町,29306,0.0,0.0
40448,東峰村,2174,0.0,0.0
40503,大刀洗町,15138,0.0,0.0
40522,大木町,14176,0.0,0.0
40544,広川町,20183,0.0,0.0
40601,香春町,10861,0.0,0.0
40602,添田町,9924,0.0,0.0
40604,糸田町,9020,0.0,0.0
40605,川崎町,16789,0.0,0.0
40608,大任町,5176,0.0,0.0
40609,赤村,3022,0.0,0.0
40610,福智町,22871,0.0,0.0
40621,苅田町,34963,0.0,0.0
40625,みやこ町,20243,0.0,0.0
40642,吉富町,6627,0.0,0.0
40646,上毛町,7458,0.0,0.0
40647,築上町,18587,0.0,0.0
