code,name,total,color,value
14101,鶴見区,285356,0,0
14102,神奈川区,238966,0,0
14103,西区,98532,0,0
14104,中区,148312,0,0
14105,南区,194827,0,0
14106,保土ケ谷区,205493,0,0
14107,磯子区,166229,0,0
14108,金沢区,202229,0,0
14109,港北区,344172,0,0
14110,戸塚区,275283,0,0
14111,港南区,215736,0,0
14112,旭区,247144,0,0
14113,緑区,180366,0,0
14114,瀬谷区,124560,0,0
14115,栄区,122171,0,0
14116,泉区,154025,0,0
14117,青葉区,309692,0,0
14118,都筑区,211751,0,0
14131,川崎区,223378,0,0
14132,幸区,160890,0,0
14133,中原区,247529,0,0
14134,高津区,228141,0,0
14135,多摩区,214158,0,0
14136,宮前区,225594,0,0
14137,麻生区,175523,0,0
14150,相模原市,720780,0,0
14151,緑区,173612,0,0
14152,中央区,269888,0,0
14153,南区,277280,0,0
14201,横須賀市,406586,0,0
14203,平塚市,258227,0,0
14204,鎌倉市,173019,0,0
14205,藤沢市,423894,0,0
14206,小田原市,194086,0,0
14207,茅ヶ崎市,239348,0,0
14208,逗子市,57425,0,0
14210,三浦市,45289,0,0
14211,秦野市,167378,0,0
14212,厚木市,225714,0,0
14213,大和市,232922,0,0
14214,伊勢原市,101514,0,0
14215,海老名市,130190,0,0
14216,座間市,128737,0,0
14217,南足柄市,43306,0,0
14218,綾瀬市,84460,0,0
14301,葉山町,32096,0,0
14321,寒川町,47936,0,0
14341,大磯町,31550,0,0
14342,二宮町,28378,0,0
14361,中井町,9679,0,0
14362,大井町,17033,0,0
14363,松田町,11171,0,0
14364,山北町,10724,0,0
14366,開成町,17013,0,0
14382,箱根町,11786,0,0
14383,真鶴町,7333,0,0
14384,湯河原町,25026,0,0
14401,愛川町,40343,0,0
14402,清川村,3214,0,0
