code,name,total,color,value
23101,千種区,164696,0.0,0.0
23102,東区,78043,0.0,0.0
23103,北区,163579,0.0,0.0
23104,西区,149098,0.0,0.0
23105,中村区,133206,0.0,0.0
23106,中区,83203,0.0,0.0
23107,昭和区,107170,0.0,0.0
23108,瑞穂区,105357,0.0,0.0
23109,熱田区,65895,0.0,0.0
23110,中川区,220281,0.0,0.0
23111,港区,146745,0.0,0.0
23112,南区,136935,0.0,0.0
23113,守山区,172845,0.0,0.0
23114,緑区,241822,0.0,0.0
23115,名東区,164080,0.0,0.0
23116,天白区,162683,0.0,0.0
23201,豊橋市,374765,0.0,0.0
23202,岡崎市,381051,0.0,0.0
23203,一宮市,380868,0.0,0.0
23204,瀬戸市,129046,0.0,0.0
23205,半田市,116908,0.0,0.0
23206,春日井市,306508,0.0,0.0
23207,豊川市,182436,0.0,0.0
23208,津島市,63431,0.0,0.0
23209,碧南市,71346,0.0,0.0
23210,刈谷市,149765,0.0,0.0
23211,豊田市,422542,0.0,0.0
23212,安城市,184140,0.0,0.0
23213,西尾市,167990,0.0,0.0
23214,蒲郡市,81100,0.0,0.0
23215,犬山市,74308,0.0,0.0
23216,常滑市,56547,0.0,0.0
23217,江南市,98359,0.0,0.0
23219,小牧市,149462,0.0,0.0
23220,稲沢市,136867,0.0,0.0
23221,新城市,47133,0.0,0.0
23222,東海市,111944,0.0,0.0
23223,大府市,89157,0.0,0.0
23224,知多市,84617,0.0,0.0
23225,知立市,70501,0.0,0.0
23226,尾張旭市,80787,0.0,0.0
23227,高浜市,46236,0.0,0.0
23228,岩倉市,47562,0.0,0.0
23229,豊明市,69127,0.0,0.0
23230,日進市,87977,0.0,0.0
23231,田原市,62364,0.0,0.0
23232,愛西市,63088,0.0,0.0
23233,清須市,67327,0.0,0.0
23234,北名古屋市,84133,0.0,0.0
23235,弥富市,43269,0.0,0.0
23236,みよし市,61810,0.0,0.0
23237,あま市,86898,0.0,0.0
23238,長久手市,57598,0.0,0.0
23302,東郷町,42858,0.0,0.0
23342,豊山町,15177,0.0,0.0
23361,大口町,23274,0.0,0.0
23362,扶桑町,33806,0.0,0.0
23424,大治町,30990,0.0,0.0
23425,蟹江町,37085,0.0,0.0
23427,飛島村,4397,0.0,0.0
23441,阿久比町,27747,0.0,0.0
23442,東浦町,49230,0.0,0.0
23445,南知多町,18707,0.0,0.0
23446,美浜町,23575,0.0,0.0
23447,武豊町,42473,0.0,0.0
23501,幸田町,39549,0.0,0.0
23561,設楽町,5074,0.0,0.0
23562,東栄町,3446,0.0,0.0
23563,豊根村,1135,0.0,0.0
