code,name,total,color,value
47201,那覇市,319435,0.0,0.0
47205,宜野湾市,96243,0.0,0.0
47207,石垣市,47564,0.0,0.0
47208,浦添市,114232,0.0,0.0
47209,名護市,61674,0.0,0.0
47210,糸満市,58547,0.0,0.0
47211,沖縄市,139279,0.0,0.0
47212,豊見城市,61119,0.0,0.0
47213,うるま市,118898,0.0,0.0
47214,宮古島市,51186,0.0,0.0
47215,南城市,42016,0.0,0.0
47301,国頭村,4908,0.0,0.0
47302,大宜味村,3060,0.0,0.0
47303,東村,1720,0.0,0.0
47306,今帰仁村,9531,0.0,0.0
47308,本部町,13536,0.0,0.0
47311,恩納村,10652,0.0,0.0
47313,宜野座村,5597,0.0,0.0
47314,金武町,11232,0.0,0.0
47315,伊江村,4260,0.0,0.0
47324,読谷村,39504,0.0,0.0
47325,嘉手納町,13685,0.0,0.0
47326,北谷町,28308,0.0,0.0
47327,北中城村,16148,0.0,0.0
47328,中城村,19454,0.0,0.0
47329,西原町,34508,0.0,0.0
47348,与那原町,18410,0.0,0.0
47350,南風原町,37502,0.0,0.0
47353,渡嘉敷村,730,0.0,0.0
47354,座間味村,870,0.0,0.0
47355,粟国村,759,0.0,0.0
47356,渡名喜村,430,0.0,0.0
47357,南大東村,1329,0.0,0.0
47358,北大東村,629,0.0,0.0
47359,伊平屋村,1238,0.0,0.0
47360,伊是名村,1517,0.0,0.0
47361,久米島町,7755,0.0,0.0
47362,八重瀬町,29066,0.0,0.0
47375,多良間村,1194,0.0,0.0
47381,竹富町,3998,0.0,0.0
47382,与那国町,1843,0.0,0.0
