code,name,total,color,value
27102,都島区,104727,0.0,0.0
27103,福島区,72484,0.0,0.0
27104,此花区,66656,0.0,0.0
27106,西区,92430,0.0,0.0
27107,港区,82035,0.0,0.0
27108,大正区,65141,0.0,0.0
27109,天王寺区,75729,0.0,0.0
27111,浪速区,69766,0.0,0.0
27113,西淀川区,95490,0.0,0.0
27114,東淀川区,175530,0.0,0.0
27115,東成区,80563,0.0,0.0
27116,生野区,130167,0.0,0.0
27117,旭区,91608,0.0,0.0
27118,城東区,164697,0.0,0.0
27119,阿倍野区,107626,0.0,0.0
27120,住吉区,154239,0.0,0.0
27121,東住吉区,126299,0.0,0.0
27122,西成区,111883,0.0,0.0
27123,淀川区,176201,0.0,0.0
27124,鶴見区,111557,0.0,0.0
27125,住之江区,122988,0.0,0.0
27126,平野区,196633,0.0,0.0
27127,北区,123667,0.0,0.0
27128,中央区,93069,0.0,0.0
27141,堺区,148205,0.0,0.0
27142,中区,124543,0.0,0.0
27143,東区,85189,0.0,0.0
27144,西区,135746,0.0,0.0
27145,南区,147626,0.0,0.0
27146,北区,158845,0.0,0.0
27147,美原区,39156,0.0,0.0
27202,岸和田市,194911,0.0,0.0
27203,豊中市,395479,0.0,0.0
27204,池田市,103069,0.0,0.0
27205,吹田市,374468,0.0,0.0
27206,泉大津市,75897,0.0,0.0
27207,高槻市,351829,0.0,0.0
27208,貝塚市,88694,0.0,0.0
27209,守口市,143042,0.0,0.0
27210,枚方市,404152,0.0,0.0
27211,茨木市,280033,0.0,0.0
27212,八尾市,268800,0.0,0.0
27213,泉佐野市,100966,0.0,0.0
27214,富田林市,113984,0.0,0.0
27215,寝屋川市,237518,0.0,0.0
27216,河内長野市,106987,0.0,0.0
27217,松原市,120750,0.0,0.0
27218,大東市,123217,0.0,0.0
27219,和泉市,186109,0.0,0.0
27220,箕面市,133411,0.0,0.0
27221,柏原市,71112,0.0,0.0
27222,羽曳野市,112683,0.0,0.0
27223,門真市,123576,0.0,0.0
27224,摂津市,85007,0.0,0.0
27225,高石市,56529,0.0,0.0
27226,藤井寺市,65438,0.0,0.0
27227,東大阪市,502784,0.0,0.0
27228,泉南市,62438,0.0,0.0
27229,四條畷市,56075,0.0,0.0
27230,交野市,76435,0.0,0.0
27231,大阪狭山市,57792,0.0,0.0
27232,阪南市,54276,0.0,0.0
27301,島本町,29983,0.0,0.0
27321,豊能町,19934,0.0,0.0
27322,能勢町,10256,0.0,0.0
27341,忠岡町,17298,0.0,0.0
27361,熊取町,44435,0.0,0.0
27362,田尻町,8417,0.0,0.0
27366,岬町,15938,0.0,0.0
27381,太子町,13748,0.0,0.0
27382,河南町,16126,0.0,0.0
27383,千早赤阪村,5378,0.0,0.0
