code,name,total,color,value
11100,さいたま市,1263979,0,0
11101,西区,87146,0,0
11102,北区,143446,0,0
11103,大宮区,113864,0,0
11104,見沼区,161960,0,0
11105,中央区,98762,0,0
11106,桜区,97910,0,0
11107,浦和区,154416,0,0
11108,南区,180152,0,0
11109,緑区,116522,0,0
11110,岩槻区,109801,0,0
11201,川越市,350745,0,0
11202,熊谷市,198742,0,0
11203,川口市,578112,0,0
11206,行田市,82113,0,0
11207,秩父市,63555,0,0
11208,所沢市,340386,0,0
11209,飯能市,80715,0,0
11210,加須市,112229,0,0
11211,本庄市,77881,0,0
11212,東松山市,91437,0,0
11214,春日部市,232709,0,0
11215,狭山市,152405,0,0
11216,羽生市,54874,0,0
11217,鴻巣市,118072,0,0
11218,深谷市,143811,0,0
11219,上尾市,225196,0,0
11221,草加市,247034,0,0
11222,越谷市,337498,0,0
11223,蕨市,72260,0,0
11224,戸田市,136150,0,0
11225,入間市,148390,0,0
11227,朝霞市,136299,0,0
11228,志木市,72676,0,0
11229,和光市,80826,0,0
11230,新座市,162122,0,0
11231,桶川市,73936,0,0
11232,久喜市,152311,0,0
11233,北本市,67409,0,0
11234,八潮市,86717,0,0
11235,富士見市,108102,0,0
11237,三郷市,136521,0,0
11238,蓮田市,62380,0,0
11239,坂戸市,101679,0,0
11240,幸手市,52524,0,0
11241,鶴ヶ島市,70255,0,0
11242,日高市,56520,0,0
11243,吉川市,69738,0,0
11245,ふじみ野市,110970,0,0
11246,白岡市,51535,0,0
11301,伊奈町,44442,0,0
11324,三芳町,38456,0,0
11326,毛呂山町,37275,0,0
11327,越生町,11716,0,0
11341,滑川町,18212,0,0
11342,嵐山町,18341,0,0
11343,小川町,31178,0,0
11346,川島町,20788,0,0
11347,吉見町,19631,0,0
11348,鳩山町,14338,0,0
11349,ときがわ町,11492,0,0
11361,横瀬町,8519,0,0
11362,皆野町,10133,0,0
11363,長瀞町,7324,0,0
11365,小鹿野町,12117,0,0
11369,東秩父村,2915,0,0
11381,美里町,11207,0,0
11383,神川町,13730,0,0
11385,上里町,30565,0,0
11408,寄居町,34081,0,0
11442,宮代町,33705,0,0
11464,杉戸町,45495,0,0
11465,松伏町,30061,0,0
