code,name,patient,total,color
131016,千代田区,0,58406,0
131024,中央区,0,141183,0
131032,港区,0,243283,0
131041,新宿区,0,333560,0
131059,文京区,0,219724,0
131067,台東区,0,198073,0
131075,墨田区,0,256274,0
131083,江東区,0,498109,0
131091,品川区,0,386855,0
131105,目黒区,0,277622,0
131113,大田区,0,717082,0
131121,世田谷区,0,903346,0
131130,渋谷区,0,224533,0
131148,中野区,0,328215,0
131156,杉並区,0,563997,0
131164,豊島区,0,291167,0
131172,北区,0,341076,0
131181,荒川区,0,212264,0
131199,板橋区,0,561916,0
131202,練馬区,0,721722,0
131211,足立区,0,670122,0
131229,葛飾区,0,442913,0
131237,江戸川区,0,681298,0
132012,八王子市,0,577513,0
132021,立川市,0,176295,0
132039,武蔵野市,0,144730,0
132047,三鷹市,0,186936,0
132055,青梅市,0,137381,0
132063,府中市,0,260274,0
132071,昭島市,0,111539,0
132080,調布市,0,229061,0
132098,町田市,0,432348,0
132101,小金井市,0,121396,0
132110,小平市,0,190005,0
132128,日野市,0,186283,0
132136,東村山市,0,149956,0
132144,国分寺市,0,122742,0
132152,国立市,0,73655,0
132187,福生市,0,58395,0
132195,狛江市,0,80249,0
132209,東大和市,0,85157,0
132217,清瀬市,0,74864,0
132225,東久留米市,0,116632,0
132233,武蔵村山市,0,71229,0
132241,多摩市,0,146631,0
132250,稲城市,0,87636,0
132276,羽村市,0,55833,0
132284,あきる野市,0,80954,0
132292,西東京市,0,200012,0
133035,瑞穂町,0,33445,0
133051,日の出町,0,17446,0
133078,檜原村,0,2209,0
133086,奥多摩町,0,5234,0
133612,大島町,0,7884,0
133621,利島村,0,337,0
133639,新島村,0,2749,0
133647,神津島村,0,1891,0
133817,三宅村,0,2482,0
133825,御蔵島村,0,335,0
134015,八丈町,0,7613,0
134023,青ヶ島村,0,178,0
134210,小笠原村,0,3022,0
